City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
464,Tecoanapa,MX,80.64,clear sky,16.52,-98.75,
465,Zhoucheng,CN,56.23,scattered clouds,35.91,116.31,
467,Ulladulla,AU,59.0,light rain,-35.35,150.47,
468,Pokrovsk,UA,55.26,overcast clouds,48.28,37.18,
474,Moron,AR,72.0,clear sky,-34.65,-58.62,
475,Mount Pleasant,US,66.0,clear sky,32.79,-79.86,
476,Kloulklubed,PW,82.4,broken clouds,7.04,134.26,
478,Porbandar,IN,83.57,clear sky,21.64,69.61,
479,Sao Joao Da Barra,BR,75.2,overcast clouds,-21.64,-41.05,
483,Thoen,TH,74.12,scattered clouds,17.61,99.22,
484,Muros,ES,63.0,overcast clouds,42.78,-9.06,
485,Chipinge,ZW,78.19,clear sky,-20.19,32.62,
486,Elizabeth City,US,57.99,few clouds,36.29,-76.25,
487,Lang Suan,TH,77.97,light rain,9.95,99.08,
489,Pipri,IN,78.8,haze,19.8,75.53,
490,Chitradurga,IN,73.11,scattered clouds,14.23,76.4,
491,Marsa Matruh,EG,75.2,scattered clouds,31.35,27.25,
492,Tuxpan,MX,71.6,mist,19.55,-103.4,
495,Waddan,LY,73.92,clear sky,29.16,16.14,
496,Cap Malheureux,MU,69.01,clear sky,-19.98,57.61,
498,Saint-Leu,RE,71.6,overcast clouds,-21.15,55.28,
499,Praia,CV,84.2,broken clouds,14.92,-23.51,
500,Najran,SA,80.6,clear sky,17.49,44.13,
502,Los Llanos De Aridane,ES,80.6,clear sky,28.66,-17.92,
503,Mogadishu,SO,82.4,broken clouds,2.04,45.34,
507,Broken Hill,AU,57.2,clear sky,-31.95,141.43,
512,Saint-Francois,FR,68.0,clear sky,46.42,3.91,
513,Puerto Baquerizo Moreno,EC,68.65,overcast clouds,-0.9,-89.6,
514,Camacha,PT,73.4,few clouds,33.08,-16.33,
516,Awbari,LY,73.6,clear sky,26.59,12.78,
517,Margate,GB,57.99,light rain,51.38,1.39,
518,Kenitra,MA,71.6,clear sky,34.26,-6.58,
524,Clarence Town,AU,59.0,scattered clouds,-32.58,151.78,
527,Bathsheba,BB,84.2,shower rain,13.22,-59.52,
528,Arinos,BR,76.84,overcast clouds,-15.92,-46.11,
533,Busca,IT,66.99,overcast clouds,44.52,7.47,
535,Medea,DZ,75.2,clear sky,36.26,2.75,
539,Faya,SA,71.6,scattered clouds,18.39,42.45,
541,Montivilliers,FR,59.0,moderate rain,49.55,0.19,
542,Khandbari,NP,67.93,broken clouds,27.37,87.2,
543,Tarakan,ID,81.9,overcast clouds,3.3,117.63,
546,Northport,US,57.0,clear sky,33.23,-87.58,
549,Hirna,ET,67.35,overcast clouds,9.22,41.1,
550,Russell,US,55.99,broken clouds,32.35,-85.2,
553,Saldanha,ZA,77.0,clear sky,-33.01,17.94,
555,Kudahuvadhoo,MV,83.73,scattered clouds,2.67,72.89,
556,Mbaiki,CF,83.71,light rain,3.87,17.99,
558,Antalaha,MG,72.28,scattered clouds,-14.9,50.28,
562,Salaverry,PE,60.8,mist,-8.23,-78.97,
564,Jinxiang,CN,63.88,scattered clouds,27.43,120.61,
565,Trincomalee,LK,82.6,light rain,8.57,81.23,
566,Yunhe,CN,61.16,overcast clouds,34.08,119.72,
567,Muscat,OM,80.6,clear sky,23.61,58.59,
568,Zhob,PK,57.7,clear sky,31.34,69.45,
571,Morant Bay,JM,84.2,scattered clouds,17.88,-76.41,
573,Viedma,AR,80.01,clear sky,-40.81,-63.0,
575,Antsohihy,MG,81.72,broken clouds,-14.88,47.99,
