City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
248,Guapi,CO,2.57,-77.89,81.0,82,95,3.67,moderate rain
249,Hollins,US,37.34,-79.94,46.99,70,90,8.05,overcast clouds
250,Souillac,MU,-20.52,57.52,69.8,68,40,13.87,shower rain
251,Lovington,US,32.94,-103.35,44.6,65,5,4.7,clear sky
252,Siloam Springs,US,36.19,-94.54,50.0,87,1,3.36,clear sky
253,Port-Gentil,GA,-0.72,8.78,84.2,74,40,14.99,scattered clouds
254,Kalangala,UG,-0.31,32.23,74.21,61,68,3.74,broken clouds
255,Sept-Iles,CA,50.2,-66.38,28.0,58,0,9.17,clear sky
256,Coahuayana,MX,18.73,-103.68,71.6,83,40,9.17,mist
257,Freistadt,AT,48.51,14.5,60.01,96,73,1.01,broken clouds
258,Hambantota,LK,6.12,81.12,82.4,94,90,3.36,haze
259,Sorong,ID,-0.88,131.25,81.07,83,49,11.25,scattered clouds
260,Daru,PG,-9.08,143.21,77.83,86,29,9.66,scattered clouds
261,Beringovskiy,RU,63.05,179.32,19.62,91,100,10.69,overcast clouds
262,Kharp,RU,66.8,65.81,26.26,96,32,9.42,scattered clouds
263,Bolobo,CD,-2.17,16.23,83.59,63,23,2.98,few clouds
264,Bartica,GY,6.4,-58.62,87.8,70,75,6.93,broken clouds
265,Mao,ES,39.89,4.27,68.0,68,0,8.05,clear sky
266,Astrakhan,RU,46.35,48.04,55.4,47,0,8.95,clear sky
267,Katsuura,JP,35.13,140.3,59.0,62,20,5.82,few clouds
268,Catamarca,AR,-28.47,-65.79,68.0,32,0,1.99,clear sky
269,Nioro,GM,13.35,-15.75,96.58,23,100,3.76,overcast clouds
270,San Ramon,US,37.78,-121.98,51.01,70,1,3.11,smoke
271,Caravelas,BR,-17.71,-39.25,81.72,65,99,8.9,moderate rain
272,Luena,AO,-11.78,19.92,82.4,58,40,5.82,scattered clouds
273,Port-Cartier,CA,50.03,-66.87,28.0,58,0,9.17,clear sky
274,Wenshang,CN,35.73,116.5,55.96,76,25,4.36,scattered clouds
275,Santiago Del Estero,AR,-27.8,-64.26,77.47,27,0,4.61,clear sky
276,Colares,PT,38.8,-9.45,70.0,73,20,5.82,few clouds
277,Paamiut,GL,61.99,-49.67,27.72,88,84,19.51,broken clouds
278,Lengyeltoti,HU,46.67,17.64,62.6,63,0,6.93,clear sky
279,Asau,RO,46.43,26.4,41.0,96,100,5.06,overcast clouds
280,Norman Wells,CA,65.28,-126.83,-2.2,84,20,4.7,few clouds
281,Kanker,IN,20.27,81.49,68.47,66,0,1.99,clear sky
282,Monterrey,MX,25.67,-100.32,57.99,76,5,2.06,clear sky
283,Dolores,AR,-36.31,-57.68,66.29,48,0,4.07,clear sky
284,Auki,SB,-8.77,160.7,77.94,85,44,3.85,scattered clouds
285,Aksarka,RU,66.56,67.8,27.37,96,33,13.85,scattered clouds
286,Craig,US,40.52,-107.55,28.4,79,40,0.4,scattered clouds
287,Karpathos,GR,35.51,27.21,69.8,43,0,19.46,clear sky
288,Kaduqli,SD,11.02,29.72,92.46,29,9,1.63,clear sky
289,Langsa,ID,4.47,97.97,77.72,85,100,1.59,overcast clouds
290,Vitim,RU,59.45,112.56,5.43,93,70,4.88,broken clouds
291,Eenhana,NA,-17.47,16.33,95.0,26,71,4.7,light rain
292,Saint-Gaudens,FR,43.08,0.67,75.2,33,0,4.7,clear sky
293,Ankara,TR,39.92,32.85,55.4,54,40,10.29,scattered clouds
294,Koslan,RU,63.46,48.9,33.94,90,98,8.08,overcast clouds
295,Baie-Comeau,CA,49.22,-68.15,26.6,58,1,9.17,clear sky
296,Bratsk,RU,56.13,101.61,12.2,85,75,8.95,light shower snow
297,Sitka,US,57.05,-135.33,50.0,87,90,20.8,mist
298,Dunedin,NZ,-45.87,170.5,48.0,79,0,11.05,clear sky
299,Nemuro,JP,43.32,145.57,46.76,67,55,6.46,broken clouds
300,Rio Grande,BR,-32.03,-52.1,69.8,60,40,11.41,scattered clouds
301,Longyearbyen,SJ,78.22,15.64,21.2,73,75,2.24,broken clouds
302,Kulynychi,UA,49.98,36.38,48.2,100,90,6.71,moderate rain
303,Te Anau,NZ,-45.42,167.72,43.93,83,41,5.57,scattered clouds
304,Ordzhonikidze,KZ,52.44,61.74,42.3,64,93,9.91,overcast clouds
305,Carutapera,BR,-1.2,-46.02,89.35,54,10,10.76,clear sky
306,Port Blair,IN,11.67,92.75,80.8,82,28,8.05,scattered clouds
307,San Cristobal,VE,7.77,-72.22,68.85,89,100,2.55,light rain
308,Nago,JP,26.59,127.98,71.6,73,90,5.82,light intensity drizzle
309,Novyy Urengoy,RU,66.08,76.63,33.64,97,100,16.42,light rain
310,Aripuana,BR,-9.17,-60.63,87.91,57,100,3.56,light rain
311,Skjervoy,NO,70.03,20.97,42.89,67,100,13.06,overcast clouds
312,Nyurba,RU,63.28,118.33,-2.69,92,77,2.73,broken clouds
313,Kuala Lipis,MY,4.18,102.05,75.33,93,99,0.83,overcast clouds
314,Oranjemund,NA,-28.55,16.43,65.57,57,0,23.35,clear sky
315,Vao,NC,-22.67,167.48,73.11,82,97,19.19,overcast clouds
316,Bandarbeyla,SO,9.49,50.81,78.08,78,69,12.73,broken clouds
317,Paita,PE,-5.09,-81.11,66.2,82,90,14.99,overcast clouds
318,Ossora,RU,59.24,163.07,32.29,96,100,1.68,overcast clouds
319,Padang,ID,-0.95,100.35,79.84,72,100,3.02,moderate rain
320,Maralal,KE,1.1,36.7,66.85,63,22,13.49,few clouds
321,Suileng,CN,47.25,127.08,41.31,65,0,15.55,clear sky
322,Maragogi,BR,-9.01,-35.22,83.41,67,92,11.9,overcast clouds
323,Sinjai,ID,-5.12,120.25,76.64,85,80,2.64,light rain
324,Aklavik,CA,68.22,-135.01,-2.2,77,75,5.82,broken clouds
325,Faanui,PF,-16.48,-151.75,78.51,76,28,18.34,scattered clouds
326,Dreux,FR,48.67,1.25,64.0,77,100,19.46,moderate rain
327,Cururupu,BR,-1.83,-44.87,92.16,43,59,8.86,broken clouds
328,Chara,RU,56.91,118.26,10.42,90,100,1.61,overcast clouds
329,Chifeng,CN,42.27,118.96,40.21,52,0,9.57,clear sky
330,Tukums,LV,56.97,23.16,48.2,87,90,5.82,overcast clouds
331,Havre,FR,49.58,0.33,59.0,93,100,14.99,light rain
332,Itoman,JP,26.12,127.67,73.4,69,75,10.29,broken clouds
333,Hualmay,PE,-11.1,-77.61,67.8,69,98,9.51,overcast clouds
